date,total_energy
2020-01-05,2788.9424593979998
2020-01-06,4377.542222968
2020-01-07,4681.495194847
2020-01-08,4626.287882379
2020-01-09,4381.609134949
2020-01-10,4360.055002104
2020-01-11,2550.355476679
2020-01-12,2997.163588046
2020-01-13,4010.517244224
2020-01-14,3598.959611325
2020-01-15,4581.824682187
2020-01-16,3413.472505534
2020-01-17,4545.348930073
2020-01-18,2726.413378617
2020-01-19,1957.970094588
2020-01-20,3694.485308478
2020-01-21,3562.354789694
2020-01-22,4505.543124222
2020-01-23,4693.240696984
2020-01-24,4239.767078948
2020-01-25,3396.24900731
2020-01-26,2799.357241092
2020-01-27,4510.973668614
2020-01-28,4609.773657755
2020-01-29,4745.311344868
2020-01-30,4593.506046947
2020-01-31,4673.273778362
2020-02-01,3540.430764215
2020-02-02,2590.867224558
2020-02-03,3505.54855903
2020-02-04,4328.455122135
2020-02-05,4803.188568786
2020-02-06,5124.367656311
2020-02-07,4901.247465712
2020-02-08,3419.6736624220002
2020-02-09,2477.748483285
2020-02-10,4351.242610055
2020-02-11,4604.784860178
2020-02-12,5084.992949784
2020-02-13,4747.607757119
2020-02-14,4196.8967826
2020-02-15,3362.6019762290002
2020-02-16,3192.057079521
2020-02-17,3472.741563636
2020-02-18,4689.100154289
2020-02-19,4936.004285242
2020-02-20,4709.625388199
2020-02-21,4829.817713113
2020-02-22,3827.368999205
2020-02-23,3750.515507554
2020-02-24,4529.800583279
2020-02-25,5398.619047342
2020-02-26,5605.595438497
2020-02-27,5813.712817407
2020-02-28,5634.408957205
2020-02-29,3787.780142476
2020-03-01,3632.394633218
2020-03-02,4627.335314247
2020-03-03,5651.025314517
2020-03-04,5767.122611939
2020-03-05,5510.082400567
2020-03-06,5185.422604184
2020-03-07,3348.921260386
2020-03-08,3601.689175547
2020-03-09,4970.887329083
2020-03-10,4781.618026954
2020-03-11,5385.74776122
2020-03-12,5178.13128574
2020-03-13,4332.601524399
2020-03-14,2525.124411815
2020-03-15,2470.410197973
2020-03-16,3431.813662123
2020-03-17,3697.8725268059998
2020-03-18,3705.111808752
2020-03-19,3761.290701918
2020-03-20,3135.072682747
2020-03-21,3069.165940854
2020-03-22,3094.867032647
2020-03-23,2421.589271124
2020-03-24,2297.298397628
2020-03-25,2369.824852661
2020-03-26,2707.867006002
2020-03-27,2370.00408569
2020-03-28,2830.276679742
2020-03-29,2978.216391461
2020-03-30,2964.928826403
2020-03-31,3057.062268711
2020-04-01,3073.019948179
2020-04-02,2729.729287801
2020-04-03,2733.519428869
2020-04-04,2257.368749881
2020-04-05,1831.387518944
2020-04-06,2669.257691586
2020-04-07,2738.362934767
2020-04-08,3555.740938572
2020-04-09,3482.4983048
2020-04-10,3718.712125707
2020-04-11,3165.034407811
2020-04-12,3325.045055358
2020-04-13,3512.750284283
2020-04-14,4072.807343871
